RE:FORM  요구사항 정의서,,,,,,,,,
구분,요구사항 ID,대분류,중분류,소분류,요구사항명,요구사항 상세,비고,,
기능,REQ-MEM-001,회원,인증,회원가입,이메일 회원가입,"- 이메일, 비밀번호, 닉네임을 입력받아 회원가입 처리
- 비밀번호는 BCrypt로 암호화하여 저장",필수,,
기능,REQ-MEM-002,회원,인증,소셜 로그인,OAuth2 소셜 로그인,"- 카카오·구글 OAuth2 로그인 지원
- 최초 로그인 시 자동으로 회원 생성 
  (동일 이메일 → 기존 이메일 계정과 연동 / 별도 계정 → 별개 분리)",카카오 우선,,
기능,REQ-MEM-003,회원,인증,JWT,JWT 발급 및 갱신,"- 로그인 성공 시 Access Token과 Refresh Token 발급
- Refresh Token은 Redis에 저장하고 만료 시 재발급",,,
기능,REQ-MEM-004,회원,프로필,프로필 관리,프로필 조회 및 수정,"- 닉네임, 프로필 이미지, 자기소개 조회 및 수정
- 프로필 이미지는 S3(또는 R2)에 업로드",,,
기능,REQ-MEM-005,회원,관심 설정,관심 설정,관심 종목·팀·키워드 설정,"- 가입 시 혹은 마이페이지에서 관심 종목, 관심 구단, 키워드 설정
- 설정값은 맞춤 피드 및 신규 매물·경매 알림 서비스에 반영",,,
기능,REQ-MEM-006,회원,평가,매너 평가,"거래 후 매너 평가 및 
후기 작성","- 거래 완료 후 상대방에게 매너 점수(1~5)와 텍스트 후기 작성 가능
- 작성 기한 : 거래 완료 후 5일로 설정",,,
기능,REQ-MEM-007,회원,활동 포인트,활동 포인트,활동 포인트 적립 및 조회,"- 게시글 작성, 거래 완료, 커뮤니티 참여 등으로 활동 포인트 적립
- 마이페이지에서 현재 포인트 조회 가능
- 유니폼 경매 입찰 및 이벤트 응모 자격 기준으로 활용",* 현금으로 뺄 수 있는 판매자의 포인트와 명확히 구분되어야 함 *,,
기능,REQ-MEM-008,회원,이력,거래 이력,판매·구매 이력 조회,"- 마이페이지에서 판매 이력, 구매 이력, 진행 중인 거래 각각 조회 가능",,,
기능,REQ-LOC-001,지역,설정,동네 선택,시/군/구/동 직접 선택,"- 사용자가 시, 군/구, 동을 직접 선택하여 내 동네 설정
- 최대 2개 지역 설정 가능",MVP,,
기능,REQ-LOC-002,지역,설정,위치 자동 설정,"현재 위치 기반 
동네 자동 설정","- Kakao Maps API를 활용하여 현재 위치 기반 동네 자동 설정
- 사용자가 위치 권한을 허용한 경우에만 동작",고도화,,
기능,REQ-LOC-003,지역,피드,지역 피드,"지역 기반 거래글 및 
커뮤니티 피드 조회",- 설정된 동네 기준으로 거래글과 커뮤니티 글 필터링하여 노출,,,
기능,REQ-LOC-004,지역,검색,반경 검색,"PostGIS 반경 기반 
위치 검색","- PostGIS 활용해 설정 반경(기본 5km) 내 게시물 검색
- 반경은 상한선 내 사용자가 조정 가능","고도화
* 기본 반경 및 상한 반경 설정 필요 *",,
기능,REQ-TRD-001,거래,판매글,판매글 등록,유니폼 판매글 작성,"- 종목, 유니폼명, 유니폼 사진(최대 10장), 마킹 여부 및 마킹 정보, 상품 상태 등급, 사이즈, 희망 가격, 설명
- 등록 시 Spring AI 게시글 문구·태그 자동 추천 및 위험 문구 탐지 작동",,,
기능,REQ-TRD-002,거래,판매글,상태 등급,유니폼 상태 등급 선택,"- S(미착용), A(최상), B(상), C(중) 등급 중 하나를 선택한다
- 게시물 등록 페이지에 각 등급 기준을 안내하는 팝업 제공",,,
기능,REQ-TRD-003,거래,판매글,판매글 수정,판매글 수정,"- 판매 중 상태에서 가격, 본문, 이미지, 상태 등급, 마킹 정보 수정
- 거래 진행 중에는 가격 수정 불가능
- 거래 진행 중에 변경된 정보가 있으면 채팅 중인 판매자의 채팅 창에 자동 공지",* 거래 진행 중 상태 = 판매자와 해당 물품에 대해 채팅 중인 구매자가 1명이라도 있을 시,,
기능,REQ-TRD-004,거래,판매글,판매글 삭제,판매글 삭제,"- 판매 중 상태에서만 삭제 가능
- 거래 진행 중이거나 예약 중인 경우 삭제할 수 없음",* 예약 중 상태 = 직거래로 예약 확정을 걸어두었을 때,,
기능,REQ-TRD-005,거래,판매글,가격 조정,판매 가격 인하 알림,- 판매자가 가격을 낮출 경우 해당 게시글을 찜한 구매자에게 가격 인하 알림 발송,,,
기능,REQ-TRD-006,거래,상태 관리,거래 상태,거래 상태 흐름 관리,"- 거래 진행 중(판매 등록/구매 문의) → 예약 중 → 결제 완료 → 전달 중(배송/직거래) → 구매 확정 / 취소 / 이의 제기
- 상태 흐름 관리 : REQUESTED → ACCEPTED → PAID → IN_PROGRESS → CONFIRMED → COMPLETED / CANCELED / DISPUTED
- 각 상태 전환 시 구매자·판매자에게 알림 발송",,,
기능,REQ-TRD-007,거래,구매,구매 요청,"구매 의사 표시 및 
판매자 수락","- 구매자가 채팅 또는 구매 버튼으로 구매 의사 전달 → 판매자가 수락 또는 거절
- 판매자 수락 시 거래 상태가 ACCEPTED로 전환",,,
기능,REQ-TRD-008,거래,구매,수령 방법,직거래·배송 수령 방법 선택,"- 구매자가 결제 전 직거래(지역 기반 장소 협의) 또는 배송 방법 선택
- 직거래 선택 시 채팅에서 장소 협의",,,
